City_ID,City_Name,State_Name,State_ID,County_Name,County_FIPS,Latitude,Longitude,Population_August_13_2021,Density_August_13_2021,Zips,all_median_household_income_2019,all_change_in_median_household_income_between_2000_and_2019,all_median_non-family_income_2019,all_change_in_median_non-family_income_between_2000_and_2019,all_median_per_capita_income_2019,all_change_in_median_per_capita_income_between_2000_and_2019,white_median_household_income_2019,white_change_in_median_household_income_between_2000_and_2019,white_median_non-family_income_2019,white_change_in_median_non-family_income_between_2000_and_2019,white_median_per_capita_income_2019,white_change_in_median_per_capita_income_between_2000_and_2019,black_or_african_american_median_household_income_2019,black_or_african_american_change_in_median_household_income_between_2000_and_2019,black_or_african_american_median_non-family_income_2019,black_or_african_american_change_in_median_non-family_income_between_2000_and_2019,black_or_african_american_median_per_capita_income_2019,black_or_african_american_change_in_median_per_capita_income_between_2000_and_2019,asian_median_household_income_2019,asian_change_in_median_household_income_between_2000_and_2019,asian_median_non-family_income_2019,asian_change_in_median_non-family_income_between_2000_and_2019,asian_median_per_capita_income_2019,asian_change_in_median_per_capita_income_between_2000_and_2019,hispanic_or_latino_median_household_income_2019,hispanic_or_latino_change_in_median_household_income_between_2000_and_2019,hispanic_or_latino_median_non-family_income_2019,hispanic_or_latino_change_in_median_non-family_income_between_2000_and_2019,hispanic_or_latino_median_per_capita_income_2019,hispanic_or_latino_change_in_median_per_capita_income_between_2000_and_2019,american_indian_and_alaska_native_median_household_income_2019,american_indian_and_alaska_native_change_in_median_household_income_between_2000_and_2019,american_indian_and_alaska_native_median_non-family_income_2019,american_indian_and_alaska_native_change_in_median_non-family_income_between_2000_and_2019,american_indian_and_alaska_native_median_per_capita_income_2019,american_indian_and_alaska_native_change_in_median_per_capita_income_between_2000_and_2019,multirace_median_household_income_2019,multirace_change_in_median_household_income_between_2000_and_2019,multirace_median_non-family_income_2019,multirace_change_in_median_non-family_income_between_2000_and_2019,multirace_median_per_capita_income_2019,multirace_change_in_median_per_capita_income_between_2000_and_2019,other_median_household_income_2019,other_change_in_median_household_income_between_2000_and_2019,other_median_non-family_income_2019,other_change_in_median_non-family_income_between_2000_and_2019,other_median_per_capita_income_2019,other_change_in_median_per_capita_income_between_2000_and_2019,revenue_imputed_2017,payroll_imputed_2017,employees_imputed_2017
1840015142,Plantation,Florida,FL,Broward,12011,26.1260,-80.2617,94580,1685,33322 33323 33324 33325 33317 33313 33318 33329 33337 33388,"$71,977",+33.9%,"$51,796",+47.6%,"$37,207",+31.7%,"$73,434",+29.9%,"$51,992",+45.7%,"$43,446",+40.7%,"$62,001",+43.3%,"$46,473",+56.1%,"$25,457",+32.3%,"$68,571",+42.3%,"$66,481",N,"$27,281",+33.1%,"$82,643",+63.4%,"$52,173",+37.7%,"$33,292",+57.7%,"$58,625",+90.4%,"$563,555",N,"$53,387",+52.3%,"$95,648",+131.7%,"$73,305",+134.0%,"$28,428",+79.6%,"$64,836",N,"$75,695",N,"$27,236",+74.0%,19.81%,20.33%,22.33%
1840000461,Quincy,Massachusetts,MA,Norfolk,25021,42.2516,-71.0183,94470,2200,02169 02171 02170 02269,"$80,959",+71.8%,"$60,297",+69.8%,"$43,816",+68.5%,"$87,974",+85.7%,"$62,729",+78.6%,"$52,586",+87.1%,"$76,558",+70.0%,"$30,004",Â -24.9%,"$41,777",+67.0%,"$77,724",+56.0%,"$43,610",+5.6%,"$29,108",+68.4%,"$97,447",+98.9%,"$48,698",+4.3%,"$35,337",+45.2%,"$42,189",N,"$17,327",Â +17.5%,"$26,857",+131.2%,"$70,495",+97.5%,"$80,897",+138.7%,"$32,771",+97.6%,"$65,496",N,"$2,499",Â -94.2%,"$28,355",+86.4%,20.19%,23.67%,26.33%
1840003872,Portsmouth,Virginia,VA,Portsmouth,51740,36.8468,-76.3540,94398,1094,23709 23708 23704 23707 23701 23703 23702 23705,"$51,195",+51.7%,"$37,155",+67.1%,"$27,270",+65.2%,"$63,078",+56.3%,"$41,954",+60.7%,"$34,591",+69.2%,"$45,031",+67.0%,"$33,602",+85.9%,"$23,124",+75.5%,"$49,203",+27.4%,"$43,786",+87.0%,"$30,964",+134.3%,"$61,708",+85.0%,"$63,708",+103.9%,"$26,856",+91.1%,"$78,734",N,"$71,484",N,"$43,980",N,"$37,198",+25.6%,"$39,598",+121.4%,"$14,377",+12.4%,"$39,323",N,"$28,402",Â -20.1%,"$17,585",+29.9%,20.93%,18.33%,20.33%
1840019114,Chino,California,CA,San Bernardino,06071,33.9836,-117.6654,94371,1229,91710 91708,"$87,090",+57.2%,"$44,857",+58.0%,"$28,483",+62.1%,"$85,041",+46.6%,"$50,399",+81.7%,"$29,754",+43.7%,"$85,863",+52.1%,"$53,951",+66.0%,"$26,323",+63.0%,"$100,301",+64.5%,"$63,668",+85.2%,"$32,737",+81.8%,"$81,316",+61.6%,"$51,356",+74.6%,"$23,895",+80.4%,"$133,791",+59.8%,"$47,632",Â -44.3%,"$22,914",+25.0%,"$116,918",N,"$116,684",N,"$15,022",+24.3%,"$98,344",N,"$80,722",+102.2%,"$17,130",+36.8%,19.44%,19.67%,22.33%
1840000409,Lynn,Massachusetts,MA,Essex,25009,42.4779,-70.9663,94299,3388,01905 01904 01902 01901 01903 01910,"$61,572",+64.8%,"$27,149",+25.7%,"$26,384",+50.8%,"$64,759",+61.8%,"$30,911",+43.6%,"$30,109",+49.8%,"$66,333",+110.3%,"$9,657",Â -55.9%,"$25,927",+74.4%,"$62,778",+56.6%,"$18,626",+149.2%,"$24,455",+127.2%,"$50,702",+78.9%,"$24,146",+15.9%,"$18,452",+76.6%,"$48,150",Â +47.4%,"$42,857",Â +3.4%,"$20,082",+76.8%,"$48,226",+49.1%,"$22,766",+22.2%,"$23,427",+81.2%,"$46,456",N,"$22,414",+0.2%,"$18,607",+96.0%,20.19%,23.67%,26.33%
1840020423,Edmond,Oklahoma,OK,Oklahoma,40109,35.6689,-97.4159,94054,428,73012 73013 73007 73003 73034,"$88,546",+62.3%,"$38,360",+50.9%,"$49,153",+85.4%,"$92,463",+62.4%,"$37,402",+36.0%,"$52,589",+86.5%,"$47,248",+34.0%,"$40,999",+129.6%,"$41,305",N,"$60,754",N,"$17,022",N,"$38,042",+140.0%,"$62,247",+52.7%,"$23,452",Â -19.6%,"$24,842",+72.1%,"$61,737",+20.5%,"$61,893",N,"$43,674",+98.5%,"$82,633",N,"$45,602",N,"$19,066",+19.5%,"$82,750",N,"$56,090",+95.1%,"$30,527",N,20.38%,17.59%,19.07%
1840003969,Dearborn,Michigan,MI,Wayne,26163,42.3127,-83.2129,93932,1496,48128 48120 48126 48124 48121 48123,"$53,509",+20.1%,"$40,213",+37.0%,"$23,110",+7.5%,"$52,355",+13.1%,"$37,917",+26.3%,"$23,199",+1.5%,"$53,614",+57.1%,"$11,239",Â -65.8%,"$19,034",Â -11.1%,"$103,717",+101.0%,"$58,229",+50.0%,"$47,077",+102.7%,"$62,583",+32.5%,"$51,646",+72.9%,"$26,641",+44.1%,"$57,417",+19.8%,"$71,261",+133.4%,"$54,685",N,"$65,765",N,"$85,320",N,"$13,740",+49.1%,"$56,166",N,"$76,201",N,"$18,791",+9.7%,19.81%,18.67%,20.33%
1840003985,Livonia,Michigan,MI,Wayne,26163,42.3972,-83.3733,93665,1013,48152 48150 48154 48151 48153,"$81,305",+29.0%,"$50,070",+48.4%,"$38,701",+38.6%,"$81,128",+28.8%,"$50,270",+50.7%,"$40,110",+43.0%,"$67,180",+21.0%,"$38,787",Â -16.4%,"$34,301",+27.6%,"$83,527",+5.3%,"$71,474",+34.6%,"$42,123",+50.4%,"$120,345",+82.6%,"$120,727",N,"$32,629",+61.5%,"$105,422",+75.2%,"$87,045",+77.3%,"$30,058",+3.3%,"$85,911",+45.5%,"$40,784",Â -2.2%,"$10,128",Â -35.1%,"$87,077",N,"$96,200",N,"$24,833",Â -26.9%,19.81%,18.67%,20.33%
1840021870,South Gate,California,CA,Los Angeles,06037,33.9448,-118.1926,93444,4985,90280,"$53,736",+50.5%,"$40,440",+93.9%,"$17,830",+68.2%,"$50,795",+44.6%,"$29,958",+46.7%,"$18,373",+59.4%,"$80,230",+136.0%,"$19,248",+27.1%,"$25,857",+84.6%,"$62,747",+16.9%,"$50,603",+9.4%,"$37,980",+99.0%,"$54,291",+51.5%,"$40,583",+116.2%,"$18,795",+91.7%,"$55,535",+84.8%,"$22,964",Â -22.9%,"$24,750",+119.1%,"$54,642",+61.2%,"$54,697",N,"$19,997",+88.4%,"$61,547",N,"$42,333",+91.4%,"$19,466",+101.9%,19.44%,19.67%,22.33%
1840020477,Lawton,Oklahoma,OK,Comanche,40031,34.6176,-98.4203,93025,441,73501 73507 73505 73503 73502 73506,"$46,886",+44.2%,"$34,749",+70.7%,"$24,990",+62.3%,"$47,862",+35.1%,"$40,020",+89.5%,"$27,466",+55.9%,"$37,130",+26.3%,"$24,178",+31.9%,"$26,425",+110.6%,"$48,912",+37.4%,"$49,044",N,"$28,411",+78.5%,"$55,958",+101.3%,"$43,098",+117.9%,"$19,400",+82.6%,"$44,743",+89.9%,"$30,594",+112.2%,"$18,691",+69.3%,"$50,767",+90.9%,"$32,236",+45.7%,"$14,876",+78.7%,"$41,960",N,"$2,499",Â -88.8%,"$18,256",+66.3%,20.38%,17.59%,19.07%
